,id,timestamp,text,speaker,reply_to,conversation_id,meta.receiver,meta.absolute_message_index,meta.relative_message_index,meta.year,meta.game_score,meta.game_score_delta,intent
753,Game1-austria-italy-64,697,"Okay, I’m so sorry. I got distracted again. Yes! I will order GRE to SMY, EAS S GRE to SMY, TYR S MUN holding. 

Will you allow me a build this turn or do you plan on retaking Greece now?",italy-Game1,Game1-austria-italy-63,Game1-austria-italy,austria-Game1,697,64,1903,5,0,1
532,Game2-austria-italy-590,2593,Mhmmm I need you to give me some more info man,italy-Game2,Game2-austria-italy-589,Game2-austria-italy,austria-Game2,2593,590,1905,6,-2,0
462,Game3-england-germany-96,681,We could invite all the nations to attend and bear witness to the consummation of our commitment hahaha,england-Game3,Game3-england-germany-95,Game3-england-germany,germany-Game3,681,96,1902,5,0,1
707,Game8-turkey-russia-127,775,"All around. There were a half dozen ways to stop me from developing the position sound Munich. Now he's losing not just Berlin, but he needs French help to hold Munich.",russia-Game8,Game8-turkey-russia-126,Game8-turkey-russia,turkey-Game8,775,127,1907,5,-4,0
438,Game5-turkey-italy-1,66,Have you had any contact with Austria yet?,italy-Game5,Game5-turkey-italy-0,Game5-turkey-italy,turkey-Game5,66,1,1901,3,0,0
154,Game4-turkey-austria-4,63,Ah well our biggest issue is keeping Russia out of Rumania. I will see if they have plans to move most units south. It sounds like they might be.,turkey-Game4,Game4-turkey-austria-3,Game4-turkey-austria,austria-Game4,63,4,1901,3,0,0
1576,Game6-turkey-france-37,437,Is it you?  I think you can do it if there's not too much English resistance 🙂,turkey-Game6,Game6-turkey-france-36,Game6-turkey-france,france-Game6,437,37,1907,12,3,1
1077,Game12-turkey-austria-27,438,It’s true - Bud back to Rum and Ser on to Alb could position for more forward convoys without needing the rear fleet...,turkey-Game12,Game12-turkey-austria-26,Game12-turkey-austria,austria-Game12,438,27,1903,5,0,1
959,Game12-france-russia-88,989,Yup.,russia-Game12,Game12-france-russia-87,Game12-france-russia,france-Game12,989,88,1908,11,4,0
1485,Game8-turkey-austria-41,236,agreed.  complete with a classic  French butt-@#$%'ing.,turkey-Game8,Game8-turkey-austria-40,Game8-turkey-austria,austria-Game8,236,41,1902,4,0,0
533,Game2-italy-germany-318,2604,Can you get on board with that? I’m down to work with you to a two way victory so long has you don’t expect me to knife england earlier than I would like.,germany-Game2,Game2-italy-germany-317,Game2-italy-germany,italy-Game2,2604,318,1905,9,3,0
1277,Game1-italy-germany-144,1548,Here’s the deal: I like you better than England.,italy-Game1,Game1-italy-germany-143,Game1-italy-germany,germany-Game1,1548,144,1906,8,3,1
155,Game11-turkey-austria-188,947,I’m still not sure,austria-Game11,Game11-turkey-austria-187,Game11-turkey-austria,turkey-Game11,947,188,1904,6,0,1
1382,Game1-italy-france-41,787,"Just saw the moves, and then read your messages. OK- I trust you, but don't fuck me on this. I do have a back up plan, but I'd like to not go there 😁.",france-Game1,Game1-italy-france-40,Game1-italy-france,italy-Game1,787,41,1903,6,1,1
1386,Game10-italy-germany-47,482,Not sure what you mean there,italy-Game10,Game10-italy-germany-46,Game10-italy-germany,germany-Game10,482,47,1903,4,-2,0
92,Game1-italy-germany-221,1879,"I’m pretty wary of England right now. He asked me what I want to do, but I feel like he’s trying to get me to leave MAO open. That’s not terrible news, as it suggests that he won’t expect your move to North Sea.",italy-Game1,Game1-italy-germany-220,Game1-italy-germany,germany-Game1,1879,221,1907,10,3,1
1580,Game9-france-russia-65,442,"As far as Turkey and Austria goes, I'm inconclusive. Austria doesn't talk much but then again, neither does Turkey.",russia-Game9,Game9-france-russia-64,Game9-france-russia,france-Game9,442,65,1901,6,1,1
334,Game12-england-france-37,278,"Russia is back, but they're still really bad about responding.",england-Game12,Game12-england-france-36,Game12-england-france,france-Game12,278,37,1902,4,0,0
937,Game8-turkey-germany-43,892,"Good game, brother.  Sorry it didn't end better for you.",turkey-Game8,Game8-turkey-germany-42,Game8-turkey-germany,germany-Game8,892,43,1910,11,10,0
1262,Game1-austria-france-11,351,thanks!,france-Game1,Game1-austria-france-10,Game1-austria-france,austria-Game1,351,11,1902,5,0,0
899,Game4-turkey-france-17,475,"Looks like I had bad information, which is too bad since I will be losing Munich",france-Game4,Game4-turkey-france-16,Game4-turkey-france,turkey-Game4,475,17,1902,6,1,1
850,Game2-austria-germany-174,1291,France is dead,austria-Game2,Game2-austria-germany-173,Game2-austria-germany,germany-Game2,1291,174,1902,5,0,0
449,Game5-austria-italy-13,121,"Not necessarily against them, just to have a unit on the border",italy-Game5,Game5-austria-italy-12,Game5-austria-italy,austria-Game5,121,13,1901,3,0,1
980,Game2-turkey-italy-92,697,Rgr!!!,italy-Game2,Game2-turkey-italy-91,Game2-turkey-italy,turkey-Game2,697,92,1901,4,-1,0
901,Game12-turkey-russia-189,569,My hope is that Kie or Rug will be preoccupied retaking Hol,russia-Game12,Game12-turkey-russia-188,Game12-turkey-russia,turkey-Game12,569,189,1904,8,-1,0
912,Game1-england-france-131,788,"Not sure where all of this is coming from honesty. I know you feel bad for Germany since it's her first game, but for all you know she could just be lying about that for an advantage. If that's why you aren't talking to me, then I'd ask that you consider playing the board and not who you think everyone is.",france-Game1,Game1-england-france-130,Game1-england-france,england-Game1,788,131,1903,6,1,0
1428,Game1-austria-russia-52,2461,Sure.,austria-Game1,Game1-austria-russia-51,Game1-austria-russia,russia-Game1,2461,52,1908,3,-2,1
1556,Game3-england-germany-433,1909,"How’s it down in the Middle East?? 

I set it to 3 way draw for the final season",germany-Game3,Game3-england-germany-432,Game3-england-germany,england-Game3,1909,433,1910,10,0,0
950,Game12-turkey-russia-341,882,Exactly 😝,russia-Game12,Game12-turkey-russia-340,Game12-turkey-russia,turkey-Game12,882,341,1907,11,-1,0
1315,Game8-austria-france-31,498,"It's fine if you don't, we may be able to push T out in fall",austria-Game8,Game8-austria-france-30,Game8-austria-france,france-Game8,498,31,1903,2,-6,0
722,Game1-england-germany-75,421,Yeah that would be fair. Just need to run it by russia that norway is a hold in the spring so that doesn’t raise any eyebrows,england-Game1,Game1-england-germany-74,Game1-england-germany,germany-Game1,421,75,1902,4,-1,0
263,Game12-turkey-russia-194,574,Deal!,russia-Game12,Game12-turkey-russia-193,Game12-turkey-russia,turkey-Game12,574,194,1904,8,-1,1
618,Game1-england-italy-203,1519,"Well, I want to be rid of France. I’ve really been depending on the two of you to help in that project. If England decides to move out of Paris for France, that’s bad for me. 

Also, I don’t want to see Germany get two builds this turn. But you’re right, if it’s inevitable anyway, it’s not the end of the world. 

#teamengland",italy-Game1,Game1-england-italy-202,Game1-england-italy,england-Game1,1519,203,1906,8,3,1
223,Game1-england-italy-372,2133,"So here is the move:
Norway - Swe
Pic S Channel - Belgium
Mar - Bur to cut support
Gas to Bre to block the Paris move. 

I think you’re going to get a build this turn even if I take Liverpool. 

Does that make sense?",italy-Game1,Game1-england-italy-371,Game1-england-italy,england-Game1,2133,372,1907,10,5,1
351,Game3-england-france-110,1522,Gotcha,england-Game3,Game3-england-france-109,Game3-england-france,france-Game3,1522,110,1906,7,3,0
873,Game4-england-germany-41,241,Btw have you talked to Italy?,england-Game4,Game4-england-germany-40,Game4-england-germany,germany-Game4,241,41,1901,3,0,1
1136,Game1-england-italy-308,1853,"Re G being mad: it’s not the end of the world. I mean, we’ll definitely be at war with her. I just don’t want her trying to throw the game in spite or anything like that. Cause I am lying to her like crazy this turn. 🤭🤫",italy-Game1,Game1-england-italy-307,Game1-england-italy,england-Game1,1853,308,1907,10,5,1
299,Game1-england-italy-190,1486,"Whoa — no, I want you and Germany to work together.",italy-Game1,Game1-england-italy-189,Game1-england-italy,england-Game1,1486,190,1906,8,3,1
296,Game6-germany-france-2,19,"Hi Germany! 

Bounce in Burgundy sounds good. But your move to Ruh... idk, not really liking that. Holland is guaranteed to you winter 1901 no matter if you have Ruh or not. The main reason you would move it there in 1901 would be to take Belgium, and then move in on me. It feels pretty anti-france. Hopefully we can work something out, and maybe even arrange an alliance against England? About that, have you heard anything from them? I havn't. 

Looking forwards to a good game! -France",france-Game6,Game6-germany-france-1,Game6-germany-france,germany-Game6,19,2,1901,3,0,1
1342,Game9-italy-russia-322,1414,You have been wonderful all game but as you hit double digits I have to start worrying about a solo...,italy-Game9,Game9-italy-russia-321,Game9-italy-russia,russia-Game9,1414,322,1903,5,-5,0
600,Game3-england-germany-291,1344,Support entered!,germany-Game3,Game3-england-germany-290,Game3-england-germany,england-Game3,1344,291,1905,7,1,0
1582,Game7-england-italy-1,24,"I'm not sure yet, let me work out the East.",italy-Game7,Game7-england-italy-0,Game7-england-italy,england-Game7,24,1,1901,3,0,1
935,Game4-england-russia-37,720,"Again, sorry for the stab. In hindsight, I can't really say it was a mistake. Even though I feel bad I REALLY needed the build as Austria and Turkey are running a relentless attack against me. I appreciate you're cooperation. I fear if we go to war, I will be pressured from all sides and will be eliminated. But, that would probably also end the alliance with you and France, and they are looking in a much better position then you right now. So I would really like to continue our alliance. I will move out of Nwy this turn, provided you don't take Sweden.",russia-Game4,Game4-england-russia-36,Game4-england-russia,england-Game4,720,37,1902,5,1,1
1541,Game9-england-russia-96,1161,sure,england-Game9,Game9-england-russia-95,Game9-england-russia,russia-Game9,1161,96,1902,5,-1,0
1126,Game7-austria-germany-1,40,"I'd rather use my army in the northern campaign, but I certainly dont want to see Italy in Tyrolia, so I'll talk to Italy and see where they are at. I still might bounce in Bur, still figuring things out.",germany-Game7,Game7-austria-germany-0,Game7-austria-germany,austria-Game7,40,1,1901,3,0,0
553,Game12-france-russia-121,1026,Oh no,russia-Game12,Game12-france-russia-120,Game12-france-russia,france-Game12,1026,121,1908,11,4,0
1148,Game7-austria-russia-32,378,"Well, unnecessary if you’re going to parent with him, yes. I left Galicia and that should give us some space to work together, if you’d like to make a suggestion.",russia-Game7,Game7-austria-russia-31,Game7-austria-russia,austria-Game7,378,32,1901,5,1,0
1230,Game3-england-italy-100,861,“And stay out!”,italy-Game3,Game3-england-italy-99,Game3-england-italy,england-Game3,861,100,1903,5,-2,0
1243,Game4-france-russia-87,667,Sorry for the all the messages,russia-Game4,Game4-france-russia-86,Game4-france-russia,france-Game4,667,87,1902,5,-1,1
1366,Game9-italy-germany-5,257,How’s it going in the West? Was that bounce in Bur arranged?,italy-Game9,Game9-italy-germany-4,Game9-italy-germany,germany-Game9,257,5,1901,3,0,0
974,Game4-france-russia-91,706,"As much as I love to see you in Bohemia, I worry you won't be able todefend your Homeland effectively",france-Game4,Game4-france-russia-90,Game4-france-russia,russia-Game4,706,91,1902,5,0,0
405,Game2-austria-italy-413,1836,Talk to me- what hard choices are we faced with for next turn?,italy-Game2,Game2-austria-italy-412,Game2-austria-italy,austria-Game2,1836,413,1903,5,-2,0
1233,Game2-austria-germany-182,1304,"Your call, but I really want to see you succeed here",austria-Game2,Game2-austria-germany-181,Game2-austria-germany,germany-Game2,1304,182,1902,5,0,1
128,Game4-france-russia-334,1414,"The south did go very lucky for me last turn, but I don't think the dots that I need are within reach for at least a couple years- thanks though lol",france-Game4,Game4-france-russia-333,Game4-france-russia,russia-Game4,1414,334,1906,12,3,1
1333,Game1-england-russia-32,613,Any thoughts? You looking to keep pushing on Germany?,russia-Game1,Game1-england-russia-31,Game1-england-russia,england-Game1,613,32,1903,6,1,0
521,Game12-france-russia-240,1152,I think my plan will work,russia-Game12,Game12-france-russia-239,Game12-france-russia,france-Game12,1152,240,1909,10,4,0
440,Game2-turkey-germany-104,1662,Gonna give Warsaw a shot,germany-Game2,Game2-turkey-germany-103,Game2-turkey-germany,turkey-Game2,1662,104,1903,7,2,0
552,Game4-england-russia-65,861,Enlands idea above,russia-Game4,Game4-england-russia-64,Game4-england-russia,england-Game4,861,65,1903,5,1,0
1578,Game1-england-italy-105,1196,Huh. I guess France is lying to me then?,england-Game1,Game1-england-italy-104,Game1-england-italy,italy-Game1,1196,105,1905,5,-2,0
49,Game3-england-germany-411,1859,Yea sadly there's limits to our connection :/ hehe,england-Game3,Game3-england-germany-410,Game3-england-germany,germany-Game3,1859,411,1909,8,0,0
144,Game4-germany-russia-18,228,I'm w/ Austria against turkey,russia-Game4,Game4-germany-russia-17,Game4-germany-russia,germany-Game4,228,18,1901,4,1,1
33,Game2-turkey-italy-59,566,"Honestly, I probably need to build a fleet or army in Venice...if only to keep Austria from fucking me, bc he’s obviously building in Trieste.  I don’t want to do that though, but I don’t see alternatives.",italy-Game2,Game2-turkey-italy-58,Game2-turkey-italy,turkey-Game2,566,59,1901,4,-1,1
1309,Game4-austria-france-23,388,"Well, I found an ally since I think Russia will move to Silesia to pull some German units away from Munich",france-Game4,Game4-austria-france-22,Game4-austria-france,austria-Game4,388,23,1902,6,2,1
1292,Game9-england-france-25,333,"Ok... I believe you. Also, I don't think germany is the most seasoned diplomacy player... he told me he wanted to have an alliance with me, but that I HAD to give him belgium, holland, and denmark in return",england-Game9,Game9-england-france-24,Game9-england-france,france-Game9,333,25,1901,3,0,1
1551,Game9-austria-italy-10,264,Has there been any discussion over Gre?,italy-Game9,Game9-austria-italy-9,Game9-austria-italy,austria-Game9,264,10,1901,3,0,0
1536,Game4-england-france-33,252,I had to justify not going NC somehow,england-Game4,Game4-england-france-32,Game4-england-france,france-Game4,252,33,1901,3,0,1
1559,Game8-turkey-france-59,674,Speak for yourself this is the most entertained i’ve ever been in an airport terminal,france-Game8,Game8-turkey-france-58,Game8-turkey-france,turkey-Game8,674,59,1905,10,3,1
1563,Game12-turkey-russia-159,518,Yep.  I may be able to help with Munich.  And we may need to balance centers - me owning Munich longer term helps me agaianst France,turkey-Game12,Game12-turkey-russia-158,Game12-turkey-russia,russia-Game12,518,159,1903,5,0,0
1516,Game4-england-france-54,391,"Yeah I think Russia is moving to Silesia (wink, wink 😉)",france-Game4,Game4-england-france-53,Game4-england-france,england-Game4,391,54,1902,6,2,1
1254,Game4-france-russia-11,224,I'm with Austria. Going for turkey,russia-Game4,Game4-france-russia-10,Game4-france-russia,france-Game4,224,11,1901,4,1,1
671,Game1-england-italy-282,1819,"I don’t think we can save North Sea this turn, but if we can land your army in Pic, we can force France to retreat to Belgium, which would be absolutely awesome. And I think his survival instinct would kick in at that point, and he would stay there until you take it.",italy-Game1,Game1-england-italy-281,Game1-england-italy,england-Game1,1819,282,1907,10,5,1
72,Game12-france-russia-130,1035,Can you move Ruhr to Belgium or elsewhere to make room for me to deploy holland closer to the front?,russia-Game12,Game12-france-russia-129,Game12-france-russia,france-Game12,1035,130,1908,11,4,0
464,Game2-england-austria-51,1990,"You then finish France, I help out by taking Italy",austria-Game2,Game2-england-austria-50,Game2-england-austria,england-Game2,1990,51,1904,7,1,1
331,Game4-turkey-france-13,323,Any preferences on who you want to work with? It might affect some of my decisions here.,france-Game4,Game4-turkey-france-12,Game4-turkey-france,turkey-Game4,323,13,1901,6,1,0
1155,Game10-italy-germany-24,394,Is England not your ally?,italy-Game10,Game10-italy-germany-23,Game10-italy-germany,germany-Game10,394,24,1902,4,-1,0
402,Game6-france-russia-14,454,"Hey Russia . Can we agree it’s time to put a hold on Turkey, as they are 3 away from getting the solo... we should collaborate/support each other, as it is clear neither of us will be eliminated (sending this message to everyone)",france-Game6,Game6-france-russia-13,Game6-france-russia,russia-Game6,454,14,1908,8,6,1
1415,Game3-italy-germany-10,191,"Yeah i feel like England has some options open, not sure what he's going for",germany-Game3,Game3-italy-germany-9,Game3-italy-germany,italy-Game3,191,10,1901,3,0,1
31,Game8-germany-france-49,696,"...okay, clearly I don’t have your trust. But really, I am committed to an FG victory! I’m convoying bel onto britain this spring and I’ll leave it open for you. Just let me know what else you’d like me to do, or if you’d like to hear about my moves in more detail (although in that case i would ask you to reciprocate). My main focus for the time being though has to be keeping turkey off my boot",france-Game8,Game8-germany-france-48,Game8-germany-france,germany-Game8,696,49,1905,12,4,0
1159,Game5-england-france-40,261,"Ok, that's fair. I guess it's kind of hard for England to do much of anything without a fleet in Nth, so I guess your fleet in Mao will stay",england-Game5,Game5-england-france-39,Game5-england-france,france-Game5,261,40,1902,5,-1,0
1476,Game1-italy-germany-139,1535,"I have to say that I’m surprised that you feel that I’ve betrayed your trust. I have been feeling like maybe I’ve been TOO helpful to you, and been a bit over the top in offering advice, etc., but it seems like I’ve misread the situation.",italy-Game1,Game1-italy-germany-138,Game1-italy-germany,germany-Game1,1535,139,1906,8,3,1
589,Game7-italy-russia-35,832,"Meh, I hate this platform. It's alright. With chat down this game is a bust anyway.",italy-Game7,Game7-italy-russia-34,Game7-italy-russia,russia-Game7,832,35,1906,5,1,1
199,Game6-england-russia-0,72,"Hey England, sorry I've been so long in reaching out.

Just wanted to make it clear that I hold no I'll intentions toward you, and my moves Spring 1901 should prove that. I will absolutely not be moving A MOS-STP, and I'd hope to consider you a welcome neighbor should you decide to take NWY in the future. We each stand to gain little by meddling in each other's business, I would be happy to leave you to your business in the West while I play in my own sphere of influence.

Best wishes and good luck!",russia-Game6,,Game6-england-russia,england-Game6,72,0,1901,4,1,1
477,Game4-turkey-russia-73,991,"For the record, I don't think you can hold off me, Austria, and Italy at the same time. Definitely not. And although I have no interest in an alliance with Austria, they will be my second option if you continue to be this bellicose.",russia-Game4,Game4-turkey-russia-72,Game4-turkey-russia,turkey-Game4,991,73,1904,6,0,1
852,Game9-turkey-russia-21,231,"Armenia makes it harder to be in position when the fighting starts if you ask me, from Syria you can easily convoy out, but either way works for me.",russia-Game9,Game9-turkey-russia-20,Game9-turkey-russia,turkey-Game9,231,21,1901,4,1,1
59,Game1-england-italy-17,505,Just about the state of the board? Or did you send a message after mine that didn’t come through?,england-Game1,Game1-england-italy-16,Game1-england-italy,italy-Game1,505,17,1902,4,0,0
157,Game4-england-france-5,51,"By the way, have you heard from Germany? They wanted me to attack you so I think they were trying to get us to fight eachother.",france-Game4,Game4-england-france-4,Game4-england-france,england-Game4,51,5,1901,3,0,1
451,Game1-england-germany-260,1457,"Well, no. It's true that I asked Italy about collaborating with France, but only because France wanted us all to be able to talk about its last will and testament together. I didn't bother asking you because you had been pretty clear on ghosting France, but I wasn't sure whether Italy was or not til I asked",germany-Game1,Game1-england-germany-259,Game1-england-germany,england-Game1,1457,260,1906,5,0,1
0,Game2-england-austria-117,2896,You seem pretty well entrenched,austria-Game2,Game2-england-austria-116,Game2-england-austria,england-Game2,2896,117,1906,7,0,0
773,Game10-england-italy-0,3,Hey Italy,england-Game10,,Game10-england-italy,italy-Game10,3,0,1901,3,0,0
892,Game12-austria-france-0,450,"Hi Austria, good job fending off Italy's attack",france-Game12,,Game12-austria-france,austria-Game12,450,0,1903,5,0,1
674,Game3-turkey-italy-6,202,"Some cautious discussions with Austria this Spring, and I’ve committed not to try for Trieste this year so it looks as though it will be a single build winter. For you as well, or have you been able to negotiate safe passage to Greece?",italy-Game3,Game3-turkey-italy-5,Game3-turkey-italy,turkey-Game3,202,6,1901,3,0,0
846,Game4-italy-france-42,888,"If I were you, I would retreat to Apulia",france-Game4,Game4-italy-france-41,Game4-italy-france,italy-Game4,888,42,1903,5,1,1
173,Game3-england-russia-100,841,I'm trying to get Austria back on board but he's just not responding.,russia-Game3,Game3-england-russia-99,Game3-england-russia,england-Game3,841,100,1903,5,-2,0
749,Game3-turkey-england-44,560,Seemed like France did the heavy lifting’s all I’m saying,turkey-Game3,Game3-turkey-england-43,Game3-turkey-england,england-Game3,560,44,1902,4,-1,0
287,Game7-turkey-germany-5,241,That also implies you don't help England or that you help him to het in Norway in the first place. We definitely should stay in contact and work our way to brighter future.,turkey-Game7,Game7-turkey-germany-4,Game7-turkey-germany,germany-Game7,241,5,1901,3,0,0
1548,Game5-austria-russia-5,57,"As long as you, me, and Italy all go in and coordinate, Turkey won't be able to stand up to us.",russia-Game5,Game5-austria-russia-4,Game5-austria-russia,austria-Game5,57,5,1901,4,1,0
1553,Game4-turkey-russia-28,384,"ok. So how about I won't attack you in Rum, if you don't attack me in gal. does that sound fair?",russia-Game4,Game4-turkey-russia-27,Game4-turkey-russia,turkey-Game4,384,28,1902,5,0,1
622,Game1-italy-germany-152,1573,"No, do you think France will Support me to the Channel?",italy-Game1,Game1-italy-germany-151,Game1-italy-germany,germany-Game1,1573,152,1906,8,3,0
373,Game4-turkey-france-82,1498,"Interesting, I didn't mean to take Naples- I figured you might cut the Tyrhenian Sea's support. I'll move out if we can call a truce in Trieste?",france-Game4,Game4-turkey-france-81,Game4-turkey-france,turkey-Game4,1498,82,1907,15,8,1
257,Game1-england-germany-36,303,"I would be willing to do that, but as I see it, you have no reason to choose France as an ally over me at this point. So, why me?",germany-Game1,Game1-england-germany-35,Game1-england-germany,england-Game1,303,36,1901,5,1,0
23,Game5-turkey-russia-7,91,"If you go to Constantinople in the spring and then the Aegean in the fall, you'll be able to build a second fleet to put yourself in the Ionian, or at least hold the Ionian under threat, AND you'll have two on Greece to get your fifth dot.",russia-Game5,Game5-turkey-russia-6,Game5-turkey-russia,turkey-Game5,91,7,1901,4,1,1
1289,Game4-italy-russia-20,777,"I'm trying to make an alliance with turkey., so maybe move in on Austria .Germany and me are at war. Germany will fall soon with the pressure from me and France. Feel free to join us in Tyr.",russia-Game4,Game4-italy-russia-19,Game4-italy-russia,italy-Game4,777,20,1903,5,1,1
914,Game1-italy-france-67,1003,"I'm really glad that you are entertaining a plan like this. You call it strong diplomacy, but it only works because you are constantly looking for the best opportunities and going after them. I can get you a build. I thought about ways to do it subtly, but I wonder if it might just be better to go in for it. I can send a fleet from MAO to NAO unopposed. If you get a fleet into MAO, this will set up an unstoppable convoy directly into Clyde. The best way to do this would probably be to have you convoy Piedmont to Spain using the Gulf of Lyons, and use West Med to take MAO, thus allowing a future Spain to Clyde convoy.",france-Game1,Game1-italy-france-66,Game1-italy-france,italy-Game1,1003,67,1904,6,0,0
3,Game1-england-france-84,325,Yes- I would very much love to see that. And the best part is that you get to see my super friendly builds before you decide on anything.,france-Game1,Game1-england-france-83,Game1-england-france,england-Game1,325,84,1901,5,1,0
649,Game1-germany-france-125,1339,"Any info you think might help me in defending against England and Italy? My plan is literally giving you all my centers while Italy and England get nothing, since I can't defend all three and you are the only one who has been helping me.",france-Game1,Game1-germany-france-124,Game1-germany-france,germany-Game1,1339,125,1905,5,0,1
1156,Game1-italy-france-128,1636,"Here are my orders this turn. If you’d like to grant me Spain, I’ll raise Hell with that build, but I’m okay with you hanging onto it right now if you support me to Channel. 

MAO - Channel
LYO - Spa
WES S LYO - Spa
Mar - Bur
Pie - Mar",italy-Game1,Game1-italy-france-127,Game1-italy-france,france-Game1,1636,128,1906,8,4,1
1505,Game8-austria-germany-4,140,It seems turkey has decided to side with germany,austria-Game8,Game8-austria-germany-3,Game8-austria-germany,germany-Game8,140,4,1901,4,-1,1
344,Game3-england-germany-101,744,"Potentially,  but I’m worried that you and France are trying to push me out of this triple",germany-Game3,Game3-england-germany-100,Game3-england-germany,england-Game3,744,101,1903,4,-3,0
369,Game6-austria-russia-3,42,"I think A WAR-MOS. It allows me to backfill and on the off chance you do stab me and move to GAL I can bounce WAR in the Autumn then build in WAR, to be frank.",russia-Game6,Game6-austria-russia-2,Game6-austria-russia,austria-Game6,42,3,1901,4,1,1
461,Game2-england-austria-26,1822,"I need you to keep Germany from getting Moscow. I don't care if you get it or not, but Germany is playing a poor game and it shouldn't be rewarded.",austria-Game2,Game2-england-austria-25,Game2-england-austria,england-Game2,1822,26,1903,7,1,1
1532,Game2-italy-germany-233,2053,Austria has been really incommunicado recently and it’s what I would do if I was him,italy-Game2,Game2-italy-germany-232,Game2-italy-germany,germany-Game2,2053,233,1904,5,-2,1
1519,Game6-england-germany-64,295,"If you can, I think you should move to ska so that his unit gets destroyed.",england-Game6,Game6-england-germany-63,Game6-england-germany,germany-Game6,295,64,1903,5,0,0
1246,Game1-england-france-96,399,"Yeah, germany is in a tough spot. Any word from Italy in all this? I'm guessing the lepanto is the focus, but a move to either Pie or Tyr would be kind of taking a side.",england-Game1,Game1-england-france-95,Game1-england-france,france-Game1,399,96,1902,4,-1,0
1358,Game5-turkey-germany-1,162,I'm not on good odds with Russia at this point so wouldn't mind working together against them,turkey-Game5,Game5-turkey-germany-0,Game5-turkey-germany,germany-Game5,162,1,1901,3,0,0
767,Game1-italy-germany-214,1839,"Better to keep France feeling like we’re going to keep him in the game. If you need the build in Fall, it’s easy for me to support you there.",italy-Game1,Game1-italy-germany-213,Game1-italy-germany,germany-Game1,1839,214,1907,10,3,1
1235,Game6-england-france-2,34,I haven't really heard much of anything from Germany.,england-Game6,Game6-england-france-1,Game6-england-france,france-Game6,34,2,1901,3,0,1
648,Game1-england-germany-319,1615,"I just sent Italy a message about it, so I'll see what they say.",germany-Game1,Game1-england-germany-318,Game1-england-germany,england-Game1,1615,319,1906,5,0,1
1401,Game2-austria-germany-265,1887,AEI - didn’t you say you used to work at a think thank?,germany-Game2,Game2-austria-germany-264,Game2-austria-germany,austria-Game2,1887,265,1904,7,0,1
417,Game9-italy-france-48,986,"That's true, and appreciated!",france-Game9,Game9-italy-france-47,Game9-italy-france,italy-Game9,986,48,1902,5,1,0
1043,Game2-austria-italy-492,2249,I'd like to finish off Turkey here without England fucking me.,austria-Game2,Game2-austria-italy-491,Game2-austria-italy,italy-Game2,2249,492,1905,8,2,0
147,Game8-germany-france-41,605,Ok,germany-Game8,Game8-germany-france-40,Game8-germany-france,france-Game8,605,41,1904,6,-2,0
1430,Game2-italy-germany-92,976,My man!  Rest assured you’ll get plenty of the France pie too when his house starts to crumble.,italy-Game2,Game2-italy-germany-91,Game2-italy-germany,germany-Game2,976,92,1902,4,-1,0
516,Game12-turkey-germany-4,358,"""non-aggression"" doesn't exist in this game, in my experience.  You either have allies who you work with to divide spoils, or you have people fighting you or about to.",turkey-Game12,Game12-turkey-germany-3,Game12-turkey-germany,germany-Game12,358,4,1902,5,0,0
665,Game4-france-russia-281,1329,"LOL nice try France. If your going to try to persuade me that taking two of my centers isn't betraying me, then I don't know what too say. And why in the world would you need Austria to work with you against turkey? You're overrunning the map, and turkey is probably the least of your concern right now. If you didn't want this too be a betrayal, you could have told me and worked something out beforehand. And yes, I have a build(s) on my hand, but unless you actually do as you say, and move out of my centers, I won't really have a chance for winning. I could have gotten you in Denmark, and although I considered it I didn't.",russia-Game4,Game4-france-russia-280,Game4-france-russia,france-Game4,1329,281,1906,9,-3,1
1195,Game2-turkey-germany-75,1172,"Ok, but he'd want a way to get his troops across into france at least. So he needs the channel",turkey-Game2,Game2-turkey-germany-74,Game2-turkey-germany,germany-Game2,1172,75,1902,5,0,0
1552,Game4-england-russia-84,1048,Let me find what move he said he wanted hold up,england-Game4,Game4-england-russia-83,Game4-england-russia,russia-Game4,1048,84,1904,6,0,1
463,Game3-england-germany-263,1241,"I must admit, I've been in bed with russia too 😬 hehe. He told me himself he would help me get Moscow to keep Turkey from getting it",england-Game3,Game3-england-germany-262,Game3-england-germany,germany-Game3,1241,263,1905,6,-1,0
1104,Game10-england-france-6,45,You might want to hit Pie. Austria and Italy keep talking about you being a threat for some unknown reason. Austria is really pushing for Italy to go west instead of to turkey.,england-Game10,Game10-england-france-5,Game10-england-france,france-Game10,45,6,1901,3,0,0
992,Game9-turkey-russia-53,915,"Of course, if Austria got squirrely and took Bulgaria it'd be a disaster for both of us.",russia-Game9,Game9-turkey-russia-52,Game9-turkey-russia,turkey-Game9,915,53,1902,6,2,0
1361,Game12-turkey-italy-26,595,"Sure, understood.  How about this to fix it: Tys S Tun-Wes, Ion-Tun?  You take back a dot, but we push the position forwards toward Iberia?",turkey-Game12,Game12-turkey-italy-25,Game12-turkey-italy,italy-Game12,595,26,1904,9,5,1
329,Game1-england-italy-295,1832,That’s the best I can come up with if G is being honest with me.,italy-Game1,Game1-england-italy-294,Game1-england-italy,england-Game1,1832,295,1907,10,5,1
